"locus_tag","gene_name","function","logFC","logCPM","PValue","q.value","UniprotID"
"ABUW_4101","traB","TraB pilus assembly family protein precursor",-2.4269875501149,12.2897886354629,0.999999999999979,1,"no data"
"ABUW_4104","traV","Membrane lipoprotein lipid attachment site precursor",-2.77569359117943,12.4091065295486,0.999999999999979,1,"WP_000823132.1"
"ABUW_4105","traC","Type IV secretory pathway, VirB4 component",-3.04921999631726,12.4086765271855,0.999999999999979,1,"WP_000147410.1"
"ABUW_4108","traW","conjugative transfer protein",-1.29724192649846,12.0871152692752,1,1,"WP_000672680.1"
"ABUW_4111","traN","Mating pair stabilization TraN precursor",-1.96980339413359,12.1923367921581,1,1,"WP_000591718.1"
"ABUW_4112","traF","conjugal transfer protein TraF",-1.29724192649846,12.0871152692752,1,1,"no data"
"ABUW_4114","traH","TraH family protein",-3.05526629477673,12.492600784245,0.999999999999979,1,"no data"
"ABUW_4115","traG","TraG domain protein",0.990198534857509,12.5838858077874,1,1,"no data"
"ABUW_4116","ABUW_4116","Lytic transglycosylase catalytic",-3.15462027233898,12.5269448070193,0.518319470116389,1,"WP_071708516.1"
"ABUW_4117","ABUW_4117","hypothetical protein",-1.97167453971581,12.2240835346589,1,1,"WP_001132594.1"
"ABUW_4118","ABUW_4118","RumB",-1.29911736002091,12.1207096087186,1,1,"WP_000662932.1"
"ABUW_4120","ABUW_4120","hypothetical protein",-2.42839344240848,12.3104101824932,0.999999999999979,1,"WP_000836552.1"
"ABUW_4121","ABUW_4121","hypothetical protein",6.26684585271125,14.2735023668267,0.00766330076076659,0.352511834995263,"WP_000572025.1"
"ABUW_5002","ABUW_5002","DNA replication protein",-1.29865516357652,12.1102488351253,1,1,"WP_001096616.1"
"ABUW_6002","ABUW_6002","hypothetical protein",-1.29865516357652,12.1102488351253,1,1,"no data"
