locus_tag	gene_name	ncrna	start	end	strand	read_count	ins_index	gene_length	ins_count	fcn
ABUW_0136	dsbD	0	149517	151331	1	0	0	1815	0	"thiol:disulfide interchange protein"
ABUW_0137	ABUW_0137	0	151323	152516	-1	0	0	1194	0	"GGDEF family protein"
ABUW_0138	est	0	152692	153603	-1	0	0	912	0	esterase
ABUW_0139	ABUW_0139	0	153753	154190	1	0	0	438	0	"hypothetical protein"
ABUW_0140	ABUW_0140	0	154228	154578	-1	0	0	351	0	"putative arsenate reductase"
ABUW_0141	xth	0	155034	155858	-1	0	0	825	0	"exodeoxyribonuclease III"
ABUW_0142	pyrE	0	155897	156547	1	0	0	651	0	"orotate phosphoribosyltransferase"
ABUW_0143	ABUW_0143	0	156598	158787	-1	0	0	2190	0	"TonB-dependent receptor protein"
ABUW_0144	ABUW_0144	0	159016	159228	-1	0	0	213	0	"hypothetical protein"
ABUW_0145	gshB	0	159390	160334	1	0	0	945	0	"glutathione synthase"
ABUW_0146	murG	0	160572	161669	1	0	0	1098	0	"undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase"
ABUW_0147	murC	0	161681	163129	1	0	0	1449	0	"UDP-N-acetylmuramate--alanine ligase"
ABUW_0148	ddlB	0	163167	164093	1	0	0	927	0	"D-alanine--D-alanine ligase B"
ABUW_0149	ftsQ	0	164096	164950	1	0	0	855	0	"cell division protein FtsQ"
ABUW_0150	ftsA	0	165011	166273	1	0	0	1263	0	"cell division protein FtsA"
ABUW_0151	ftsZ	0	166438	167613	1	0	0	1176	0	"cell division protein FtsZ"
ABUW_0152	lpxC	0	167724	168626	1	0	0	903	0	"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase"
ABUW_0153	ABUW_0153	0	168724	169164	-1	0	0	441	0	"hypothetical protein"
ABUW_0154	ABUW_0154	0	169272	169964	1	0	0	693	0	"peptidase, M23/M37 family (EsvJ)"
ABUW_0155	aceE	0	170215	172932	1	0	0	2718	0	"pyruvate decarboxylase E1 component"
ABUW_0156	aceF	0	172935	174914	1	0	0	1980	0	"pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase"
ABUW_0157	ABUW_0157	0	175063	175335	1	0	0	273	0	"hypothetical protein"
ABUW_0158	ABUW_0158	0	175584	176159	1	0	0	576	0	"hypothetical protein"
ABUW_0159	ABUW_0159	0	176219	178375	-1	0	0	2157	0	"TonB-dependent receptor protein"
ABUW_0160	ABUW_0160	0	178603	179400	1	0	0	798	0	"metallo-beta-lactamase family protein"
ABUW_0161	ABUW_0161	0	179492	179857	1	0	0	366	0	"putative ferredoxin"
ABUW_0162	guaB	0	179993	181459	1	0	0	1467	0	"inosine-5'-monophosphate dehydrogenase"
ABUW_0163	glmM	0	181609	182946	1	0	0	1338	0	"phosphoglucosamine mutase"
ABUW_0164	pdxH	0	182957	183613	1	0	0	657	0	"pyridoxamine 5'-phosphate oxidase"
ABUW_0165	recJ	0	183614	185314	1	0	0	1701	0	"single-stranded-DNA-specific exonuclease RecJ"
ABUW_0166	ABUW_0166	0	185359	186126	-1	0	0	768	0	"outer membrane protein"
ABUW_0167	prfB	0	186682	187614	1	0	0	933	0	"peptide chain release factor 2"
ABUW_0168	ABUW_0168	0	187713	187844	1	0	0	132	0	"hypothetical protein"
ABUW_0169	ABUW_0169	0	187814	188116	1	0	0	303	0	"transcriptional regulator, ArsR family"
ABUW_0170	xenB	0	188145	189203	1	0	0	1059	0	"N-ethylmaleimide reductase"
ABUW_0171	kdtA	0	189372	190664	1	0	0	1293	0	"3-deoxy-D-manno-2-octulosonate transferase"
ABUW_0172	ABUW_0172	0	190661	191368	1	0	0	708	0	"hypothetical protein"
ABUW_0173	ABUW_0173	0	191348	192328	-1	0	0	981	0	"MscS Mechanosensitive ion channel"
ABUW_0174	ABUW_0174	0	192441	193016	-1	0	0	576	0	"hypothetical protein"
ABUW_0175	acsA	0	193311	195260	1	0	0	1950	0	"acetate--CoA ligase"
ABUW_0176	ABUW_0176	0	195307	195849	-1	0	0	543	0	amidase
ABUW_0177	ABUW_0177	0	195955	196368	1	0	0	414	0	"transcriptional regulator, AsnC/Lrp family"
ABUW_0178	ABUW_0178	0	196462	197574	-1	0	0	1113	0	"alkanesulfonate monooxygenase"
ABUW_0179	msuE	0	197620	198357	-1	0	0	738	0	"NADH-dependent fmn reductase"
ABUW_0180	ABUW_0180	0	198734	199384	1	0	0	651	0	"two-component system response regulator protein"
ABUW_0181	ABUW_0181	0	199427	200194	-1	0	0	768	0	"hypothetical protein"
ABUW_0182	ABUW_0182	0	200589	204086	-1	0	0	3498	0	"two-component system hybrid histidine kinase/response regulator"
ABUW_0183	ABUW_0183	0	204270	204602	1	0	0	333	0	"hypothetical protein"
ABUW_0184	ABUW_0184	0	204604	206319	1	0	0	1716	0	"Na+/solute symporter"
ABUW_0185	ABUW_0185	0	206489	207181	1	0	0	693	0	"hypothetical protein"
ABUW_0186	ABUW_0186	0	207347	209314	1	0	0	1968	0	"high-affinity choline transport protein"
ABUW_0187	ABUW_0187	0	209373	210254	-1	0	0	882	0	"hypothetical protein"
ABUW_0188	ABUW_0188	0	211247	212953	1	0	0	1707	0	"GGDEF family protein"
ABUW_0189	uvrA	0	212987	215821	-1	0	0	2835	0	"excinuclease ABC, A subunit"
ABUW_0190	ABUW_0190	0	216118	216720	1	1	0.00184162062615101	603	1	"transcriptional regulator, TetR family"
ABUW_0191	ABUW_0191	0	216724	217701	1	0	0	978	0	"alcohol dehydrogenase, zinc-binding"
ABUW_0192	ABUW_0192	0	217766	218119	1	0	0	354	0	"hypothetical protein"
ABUW_0193	ABUW_0193	0	218172	218513	1	0	0	342	0	"GlpM family protein"
ABUW_0194	ABUW_0194	0	218563	219237	-1	0	0	675	0	"transcriptional regulator, TenA family"
ABUW_0195	ABUW_0195	0	219500	220582	1	0	0	1083	0	"major facilitator family transporter"
ABUW_0196	ABUW_0196	0	220732	222093	1	0	0	1362	0	"major facilitator family transporter"
ABUW_0197	ssb	0	222145	222726	1	0	0	582	0	"single-strand binding protein"
ABUW_0198	ABUW_0198	0	222767	223090	-1	0	0	324	0	"branched-chain amino acid transport"
ABUW_0199	ABUW_0199	0	223087	223782	-1	0	0	696	0	"hypothetical protein"
ABUW_0200	ABUW_0200	0	223851	224399	1	0	0	549	0	"transcriptional regulator, XRE family"
ABUW_0201	gabP	0	224705	226147	1	0	0	1443	0	"GABA permease"
ABUW_0202	ABUW_0202	0	226208	227752	-1	0	0	1545	0	"transcriptional regulator, GntR family"
ABUW_0203	gabT	0	227864	229156	1	0	0	1293	0	"4-aminobutyrate transaminase"
ABUW_0204	gabD1	0	229153	230601	1	0	0	1449	0	"succinate-semialdehyde dehydrogenase (NADP+)"
ABUW_0205	ABUW_0205	0	230706	231680	-1	0	0	975	0	"transcriptional regulator, LysR family"
ABUW_0206	ABUW_0206	0	231701	232327	-1	0	0	627	0	"isochorismate hydrolase"
ABUW_0207	ABUW_0207	0	232604	233476	1	0	0	873	0	"pirin family protein"
ABUW_0208	ABUW_0208	0	233877	235214	1	0	0	1338	0	"hypothetical protein"
ABUW_0209	ABUW_0209	0	235219	236046	1	0	0	828	0	methyltransferase
ABUW_0210	ABUW_0210	0	236055	236477	1	0	0	423	0	"hypothetical protein"
ABUW_0211	ABUW_0211	0	236481	236651	-1	0	0	171	0	"hypothetical protein"
ABUW_0212	ABUW_0212	0	237120	237195	-1	0	0	76	0	
ABUW_0213	ABUW_0213	0	237320	238564	-1	0	0	1245	0	"major facilitator family transporter"
ABUW_0214	ABUW_0214	0	238703	239623	1	0	0	921	0	"transcriptional regulator, LysR family"
ABUW_0215	ABUW_0215	0	239620	240507	-1	0	0	888	0	permease
ABUW_0216	ABUW_0216	0	240736	241479	1	0	0	744	0	"hypothetical protein"
ABUW_0217	ABUW_0217	0	241504	241896	1	0	0	393	0	"hypothetical protein"
ABUW_0218	ABUW_0218	0	241942	242943	-1	0	0	1002	0	"aldo-keto reductase"
ABUW_0219	ABUW_0219	0	243055	243957	-1	0	0	903	0	"transcriptional regulator, AraC family"
ABUW_0220	ABUW_0220	0	244486	244698	1	0	0	213	0	"hypothetical protein"
ABUW_0221	ABUW_0221	0	244619	244738	1	0	0	120	0	pseudogene
ABUW_0222	ABUW_0222	0	244914	245465	1	0	0	552	0	"transcriptional regulator, TetR family"
ABUW_0223	ABUW_0223	0	245520	245936	-1	0	0	417	0	"hypothetical protein"
ABUW_0224	ABUW_0224	0	246048	246362	1	0	0	315	0	"transcriptional regulator, HxlR family"
ABUW_0225	ABUW_0225	0	246467	246991	-1	1	0.00211416490486258	525	1	"hypothetical protein"
ABUW_0226	ABUW_0226	0	247154	247372	-1	0	0	219	0	"hypothetical protein"
ABUW_0227	ABUW_0227	0	247400	247735	-1	0	0	336	0	"transcriptional regulator, MarR family"
ABUW_0228	ABUW_0228	0	247853	248410	1	0	0	558	0	"NAD(P)H oxidoreductase"
ABUW_0229	ABUW_0229	0	248441	249274	-1	0	0	834	0	"transcriptional regulator, AraC family"
ABUW_0230	ABUW_0230	0	249413	249955	1	0	0	543	0	"acetyltransferase, gnat family"
ABUW_0231	ABUW_0231	0	250130	250219	-1	0	0	90	0	
ABUW_0232	trkD	0	250338	252215	1	0	0	1878	0	"potassium transport system low affinity (KUP family)"
ABUW_0233	ABUW_0233	0	252271	252714	-1	0	0	444	0	"hypothetical protein"
ABUW_0234	ABUW_0234	0	252970	254049	1	0	0	1080	0	"DNA/RNA non-specific endonuclease G protein"
ABUW_0235	ABUW_0235	0	254146	254745	1	0	0	600	0	"transporter LysE family"
ABUW_0236	ABUW_0236	0	254791	255033	1	0	0	243	0	"hypothetical protein"
ABUW_0237	aqpZ	0	255242	255931	-1	0	0	690	0	"aquaporin Z"
ABUW_0238	ABUW_0238	0	256064	257068	-1	0	0	1005	0	"transcriptional regulator, AraC family"
ABUW_0239	ABUW_0239	0	257178	257816	1	0	0	639	0	"hypothetical protein"
ABUW_0240	hisF	0	257858	258616	-1	0	0	759	0	"imidazoleglycerol phosphate synthase, cyclase subunit"
ABUW_0241	ABUW_0241	0	258729	259679	1	0	0	951	0	"homoserine kinase"
ABUW_0242	ABUW_0242	0	259692	260321	1	0	0	630	0	"cold-shock DNA-binding domain protein"
ABUW_0243	ABUW_0243	0	260358	260753	1	0	0	396	0	"hypothetical protein"
ABUW_0244	ABUW_0244	0	260787	261689	-1	0	0	903	0	"hypothetical protein"
ABUW_0245	ABUW_0245	0	261788	262339	1	0	0	552	0	"transcriptional regulator, XRE family"
ABUW_0246	hisA	0	262407	263138	-1	0	0	732	0	"phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase"
ABUW_0247	ABUW_0247	0	263233	263874	-1	0	0	642	0	"3'-5' exonuclease"
ABUW_0248	ABUW_0248	0	263961	264509	-1	0	0	549	0	"hypothetical protein"
ABUW_0249	hisH	0	264663	265280	-1	0	0	618	0	"imidazole glycerol phosphate synthase, glutamine amidotransferase subunit"
ABUW_0250	hisB	0	265280	265873	-1	0	0	594	0	"imidazoleglycerol-phosphate dehydratase"
ABUW_0251	ABUW_0251	0	265976	266359	1	0	0	384	0	"hypothetical protein"
ABUW_0252	ABUW_0252	0	266465	266540	1	0	0	76	0	
ABUW_0253	ABUW_0253	0	266667	266742	1	0	0	76	0	
ABUW_0254	ABUW_0254	0	266914	267345	-1	0	0	432	0	acetyltransferase
ABUW_0255	ABUW_0255	0	267476	268990	-1	0	0	1515	0	"succinyl-CoA:coenzyme A transferase"
ABUW_0256	envZ	0	269182	270639	-1	0	0	1458	0	"two-component system sensory histidine kinase"
ABUW_0257	ompR	0	270657	271421	-1	0	0	765	0	"two-component system response regulator protein"
ABUW_0258	ABUW_0258	0	272077	274425	1	0	0	2349	0	"RNA binding S1 domain protein"
ABUW_0259	ABUW_0259	0	274715	276916	1	0	0	2202	0	"sulfate transporter"
ABUW_0260	acr1	0	276984	277874	-1	0	0	891	0	"acyl coenzyme A reductase"
ABUW_0261	metY	0	278148	279425	-1	0	0	1278	0	"O-acetylhomoserine/O-acetylserine sulfhydrylase"
ABUW_0262	ABUW_0262	0	279723	281384	1	0	0	1662	0	"ABC transporter ATP-binding protein"
ABUW_0263	ABUW_0263	0	281563	282156	1	0	0	594	0	"hypothetical protein"
ABUW_0264	ABUW_0264	0	282256	282948	-1	0	0	693	0	"hypothetical protein"
ABUW_0265	ABUW_0265	0	283097	283495	1	0	0	399	0	"cation efflux system protein"
ABUW_0266	czcC	0	283655	284965	1	0	0	1311	0	"cation efflux system protein"
ABUW_0267	czcB	0	284968	286185	1	0	0	1218	0	"cation efflux system protein (EsvF1)"
ABUW_0268	czcA	0	286175	289333	1	0	0	3159	0	"cation efflux system protein"
ABUW_0269	czcD	0	289466	290422	1	0	0	957	0	"cation efflux system protein"
ABUW_0270	ABUW_0270	0	290441	290779	-1	0	0	339	0	"hypothetical protein"
ABUW_0271	ABUW_0271	0	291053	292000	1	0	0	948	0	"hypothetical protein"
ABUW_0272	ABUW_0272	0	292093	292168	-1	0	0	76	0	
ABUW_0273	ABUW_0273	0	292197	292272	-1	0	0	76	0	
ABUW_0274	ABUW_0274	0	292407	293291	-1	0	0	885	0	"hypothetical protein"
ABUW_0275	ABUW_0275	0	293410	294828	-1	0	0	1419	0	"amino-acid permease"
ABUW_0276	ABUW_0276	0	294959	295034	-1	0	0	76	0	
ABUW_0277	ABUW_0277	0	295060	295135	-1	0	0	76	0	
ABUW_0278	gltX	0	295193	296701	-1	0	0	1509	0	"glutamyl-tRNA synthetase"
ABUW_0279	ABUW_0279	0	296818	297117	-1	0	0	300	0	"hypothetical protein"
ABUW_0280	sbp	0	297514	298515	1	0	0	1002	0	"thiosulfate-binding protein"
ABUW_0281	mraW	0	298738	299661	1	0	0	924	0	"S-adenosyl-methyltransferase MraW"
ABUW_0282	ftsL	0	299661	299993	1	0	0	333	0	"cell division protein FtsL"
ABUW_0283	ftsI	0	300005	301837	1	0	0	1833	0	"peptidoglycan glycosyltransferase"
ABUW_0284	murE	0	301841	303340	1	0	0	1500	0	"UDP-N-acetylmuramyl-tripeptide synthetase"
ABUW_0285	murF	0	303349	304749	1	0	0	1401	0	"UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanyl ligase"
ABUW_0286	mraY	0	304750	305868	1	0	0	1119	0	phospho-N-acetylmuramoyl-pentapeptide-transferase
ABUW_0287	ABUW_0287	0	305929	306261	1	0	0	333	0	"hypothetical protein"
ABUW_0288	rrm	0	306264	307088	1	0	0	825	0	"ribosomal RNA large subunit methytransferase A"
ABUW_0289	ABUW_0289	0	307106	309661	-1	0	0	2556	0	"penicillin-binding protein 1A"
ABUW_0290	ABUW_0290	0	309823	310881	1	0	0	1059	0	"type IV pilus assembly protein PilM"
ABUW_0291	comN	0	310881	311522	1	0	0	642	0	"type 4 fimbrial biogenesis protein PilN"
ABUW_0292	comO	0	311519	312259	1	0	0	741	0	"pilus assembly protein, PilO"
ABUW_0293	comL	0	312270	312797	1	0	0	528	0	"pilus assembly protein, PilQ"
ABUW_0294	comQ	0	312860	315025	1	0	0	2166	0	"fimbrial assembly protein PilQ"
